,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
1781,MKTO,MKTO,Classic,2012,78,-0.5913991969845201,0.4119612817670085,0.6234367541482317,-0.1569831916357758,-1.1689138497330842,-1.212128609436779,-0.130371422009041,0.5364731171370449,0.8205599011451459,0.2709897071018027,-0.6656786239126691,0.07684638870544681,0.9711328679479602,1,positive
1782,Dream Your Life Away (Special Edition),Vance Joy,Riptide,2014-09-09,78,1.334386143834802,-1.2874740275128775,0.2550798408661113,-0.1569831916357758,-1.1689138497330842,-0.5056328763761905,-0.17490832464888642,-0.4527287737034725,0.8205599011451459,-0.6467124990894614,-0.6809274003935176,0.07684638870544681,-0.11218332168114314,1,positive
1783,x (Deluxe Edition),Ed Sheeran,Thinking out Loud,2014-06-21,80,1.545310162314758,0.8512221032334202,-1.5007547791119942,-0.1569831916357758,-0.893703683780952,1.3865827696667246,0.07004463987026324,-0.14042712936329912,0.8205599011451459,-0.7362444216447067,-1.509407688043646,0.07684638870544681,0.24451835051380535,2,study
1784,V,Maroon 5,Sugar,2014-09-02,79,-0.48986135553021554,0.6135891998171646,0.6050189084841257,-0.1569831916357758,-1.1689138497330842,0.2586234248652369,-0.6551645914485525,-0.6308344508074258,0.8205599011451459,-0.6946760290297714,-0.007275217347495977,0.07684638870544681,1.5348095845029408,1,positive
1785,FOUR (Deluxe),One Direction,Steal My Girl,2014-11-17,77,-0.7585196925568948,-0.9130221797054446,0.48223327072341887,-0.1569831916357758,1.307977643836105,0.07841241095638782,-0.4495525575945996,-0.08467659885707568,-1.2186800727216054,-0.6808198981581264,-1.574534956418685,0.07684638870544681,0.04194703050185951,0,dance
1786,Wanted on Voyage (Expanded Edition),George Ezra,Budapest,2014-06-30,76,-0.3647785073618694,0.39035829054734894,-1.4393619602316408,-0.1569831916357758,-0.06807318592455565,-0.59248185278036,-0.4792438260211632,-1.2465571240089055,0.8205599011451459,-0.7564956898417265,0.27561335544829313,0.07684638870544681,-0.6450339677995233,2,study
1787,My Everything (Deluxe),Ariana Grande,Love Me Harder,2014-08-25,76,-0.7337974355071512,-1.3738859923915159,0.15071204876951053,-0.1569831916357758,-1.1689138497330842,0.27429394781383243,-0.7286504808042975,0.6844833751181696,-1.2186800727216054,-0.6946760290297714,-0.7782709087676629,0.07684638870544681,-1.3011888956643054,0,dance
1788,"Oh, What A Life",American Authors,Best Day Of My Life,2014-01-01,76,-0.48986135553021554,0.07351441932567579,1.3048970437201537,-0.15374265369557663,-0.893703683780952,-0.7514642051322835,-0.8815605132011,1.6697383257458571,0.8205599011451459,-0.681885754379022,-0.7409717432749401,0.07684638870544681,0.01112096006525898,1,positive
1789,Sweet Talker (Deluxe Version),Jessie J,Bang Bang,2014-10-14,76,0.49559527964706873,0.31114732274193047,0.592740344708055,-0.1569831916357758,-1.4441240156852164,-0.6254634065487322,1.5249167927718794,1.1640366109770142,-1.2186800727216054,-0.08074284579380381,1.0880038070035214,0.07684638870544681,0.9491142462075313,0,dance
1790,Let The Road,Rixton,Me And My Broken Heart,2014-01-01,75,-0.7557727751069232,-0.8482132060464659,0.5743224990439489,-0.1569831916357758,-0.06807318592455565,-0.763878197530624,-0.31594184967506345,0.7476344185234496,-1.2186800727216054,-0.6829516105999178,1.967679027682878,0.07684638870544681,0.06836937659037425,0,dance
1791,True,Avicii,Hey Brother,2013-01-01,75,-0.62818826997521,-0.8482132060464659,0.555904653379843,-0.1564092948402596,0.4823471459797086,0.7385331901659762,-0.6811444513217957,0.44865369740157757,-1.2186800727216054,-0.5859586944984022,0.1732966250084511,0.07684638870544681,-0.341176987781604,0,dance
1792,Native,OneRepublic,Counting Stars,2014-01-01,75,-0.4589585342180359,0.00870544566669703,0.09545851177719247,-0.1569831916357758,-1.1689138497330842,0.805769527692294,-0.4421297404879587,0.3968501071081837,-1.2186800727216054,-0.6435149304267741,0.0637029005165975,0.07684638870544681,-0.2575062251679742,0,dance
1793,V,Maroon 5,Animals,2014-09-02,78,-0.7788517868964162,-2.763678427522948,0.3226119416345001,-0.1569831916357758,-0.3432833518766878,0.14892976422506787,3.1059768364863904,-0.33728077247819516,-1.2186800727216054,-0.09353312044455304,2.544865329778112,0.07684638870544681,-0.9136611530327562,0,dance
1794,Waves (Robin Schulz Radio Edit),Mr. Probz,Waves - Robin Schulz Radio Edit,2014-02-07,74,-0.7394874787963778,1.1968699627479729,-1.1017014563896974,-0.1392962860843071,-0.06807318592455565,-0.4112914311872237,-0.6804021696111315,-1.7552190439373705,-1.2186800727216054,-0.6573710612984192,-0.010273777710636216,0.07684638870544681,-0.3764067825662903,0,dance
1795,Black Star Elephant,Nico & Vinz,Am I Wrong,2014,74,0.07865245241924801,0.47677025542598733,-0.08871994486386704,-0.15696364946041122,0.7575573119318407,0.512608322593021,2.786795700900832,-0.11181181282028176,0.8205599011451459,-0.7181248658894787,-0.011224540752607448,0.07684638870544681,1.0724185279539333,1,positive
1796,Oxymoron (Deluxe),ScHoolboy Q,Collard Greens,2014-01-01,74,-0.657129007394553,1.1680659744550934,-0.7026481336674011,-0.15686024908949495,1.5831878097882373,1.8371103044388473,0.22592379910972205,0.4471735948217663,0.8205599011451459,-0.3759850189819341,1.2315690263411987,0.07684638870544681,0.5043380870508669,1,positive
1797,Motion,Calvin Harris,Blame (feat. John Newman),2014-10-31,74,-0.6389797313858125,-1.7915438226382674,1.0286293587585635,-0.08598820012148901,-1.4441240156852164,-0.2931014088858631,1.2502725598261664,0.8379206758919356,-1.2186800727216054,-0.1894601803251731,0.2833657310212906,0.07684638870544681,-0.8255866660710406,0,dance
1798,Pure Heroine,Lorde,Team,2013-09-27,74,0.03941077456251205,0.19593136957041266,-0.684230288003295,-0.1569831916357758,0.2071369800275765,-0.7804057022029709,0.9682055097738119,-0.8188074784434545,0.8205599011451459,-0.06049157759678405,-0.7428367015495764,0.07684638870544681,-0.5261334104012071,1,positive
1799,My Everything (Deluxe),Ariana Grande,Break Free,2014-08-25,74,-0.7483659084114643,0.17432837835075388,0.07704066611308645,-0.15644516338997935,0.4823471459797086,-0.24706924772436362,0.21850098200308113,0.22318473774366418,-1.2186800727216054,-0.5657074263013824,0.3540147386016242,0.07684638870544681,-1.1074250243485309,0,dance
