,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
0,Get Rich Or Die Tryin',50 Cent,In Da Club,2003-02-06,74,0.49559527964706873,1.7225427490930227,0.18754774009772257,-0.1569831916357758,0.2071369800275765,-0.7704157438232413,-0.7397847064642589,1.4802851955300176,-1.2186800727216054,2.6478490796993857,-1.1049311493034417,0.07684638870544681,1.1869153610041638,3,driving
1,Dutty Rock (20th Anniversary),Sean Paul,Get Busy,2022-11-11,72,2.232039524807639,0.5631822203046256,0.8260330564533973,-0.1569831916357758,1.307977643836105,-0.32478524747255477,-0.12294860490240009,0.8058517866626922,-1.2186800727216054,-0.6754906170536475,-0.7335119101763957,0.07684638870544681,0.8346174131573008,0,dance
2,Curtain Call: The Hits (Deluxe Edition),Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",2005-12-06,75,-0.7371820302222946,0.21033336371685238,0.33489050541057075,-0.15175133076285882,-0.893703683780952,2.4861148064317757,1.3690376335324204,0.5976506904359097,0.8205599011451459,1.6885784808931865,1.8685802644620157,0.07684638870544681,-2.088574809102044,3,driving
3,Dangerously In Love,Beyoncé,Crazy In Love (feat. Jay-Z),2003-06-24,76,-0.767545278463944,-0.1209125016512605,0.4945118344994896,-0.1569831916357758,-0.893703683780952,0.27429394781383243,-0.7650222846268379,-0.4043787560963051,-1.2186800727216054,1.3581630524154953,-0.7719446777576225,0.07684638870544681,0.6408535418415264,3,driving
4,Hard Candy,Counting Crows,Big Yellow Taxi,2002-07-08,59,-0.7652888819871817,0.10951940469177511,1.0838828957508815,-0.1569831916357758,-1.1689138497330842,0.015730319162005534,-0.10810297068911828,0.7081650163951496,0.8205599011451459,-0.539061020778988,-1.1787249884841426,0.07684638870544681,1.3498531618833376,1,positive
5,Elephunk,Black Eyed Peas,Where Is The Love?,2003-06-24,77,-0.23528097043464039,1.2328749481140722,0.058622820448980435,-0.1569831916357758,-0.06807318592455565,1.1655549405152055,-0.32336466678170434,1.2602432786647453,0.8205599011451459,0.8465520663855223,-0.9576725812257992,0.07684638870544681,1.204530258396507,1,positive
6,Jenny From The Block - The Remixes,Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,2002-09-26,55,-0.743656907068656,1.2760809305533913,0.44539757939520686,-0.15693656252114008,0.2071369800275765,-0.8610599250040237,-0.8392504556932469,0.15904695928517681,0.8205599011451459,1.3581630524154953,-0.7418859385076051,0.07684638870544681,1.8078404940842594,3,driving
7,Elephunk,Black Eyed Peas,Shut Up,2003-06-24,67,-0.4516007196198979,1.0240460329906969,0.16912989443361656,-0.1569831916357758,-0.893703683780952,1.7447031894263476,0.5451049346952808,0.8981115141375933,0.8205599011451459,1.7845055407738066,-0.2664312819033069,0.07684638870544681,0.20488483138103325,3,driving
8,Elephant,The White Stripes,Seven Nation Army,2003-04-01,81,-0.7606289327416944,0.5775842144510653,-1.494615497223959,1.3024957279959033,-0.3432833518766878,0.17569207919821625,1.205735657186321,-1.0018468308134456,-1.2186800727216054,-0.3226922079371452,0.12144347141170517,0.07684638870544681,-1.1338473704370453,0,dance
9,Fallen,Evanescence,Bring Me To Life,2003-03-04,79,-0.7443926885284698,-2.3892265797155154,1.556607601129602,-0.15695771259700933,-0.3432833518766878,0.2684175017081091,0.5005680320554353,1.2770177745692726,-1.2186800727216054,-0.30670436462370854,-0.9384379135305324,0.07684638870544681,-1.0545803321715015,0,dance
10,A Rush of Blood to the Head,Coldplay,Clocks,2002-08-08,78,2.1584613788262588,-0.617781299703431,0.36558691485074746,-0.0147458392987901,-0.06807318592455565,2.03100854073561,0.06262182276362233,-0.7097732550640259,-1.2186800727216054,-0.7532981211790393,0.391094497238508,0.07684638870544681,-1.2351330304430186,2,study
11,The Eminem Show,Eminem,Sing For The Moment,2002-05-26,78,-0.7714203941522967,0.03750943395957648,0.8260330564533973,-0.15694546781624294,-0.06807318592455565,2.8063811191936976,-0.9795416990087598,0.7954910686040135,-1.2186800727216054,0.4095510158182538,1.5975030940722563,0.07684638870544681,-1.5433937348090236,0,dance
12,Meteora,Linkin Park,Faint,2003-03-24,76,-0.23528097043464039,-0.783404232387487,1.771482467210839,-0.1569831916357758,-0.3432833518766878,-1.526175683403477,-0.7531457772562125,1.0964452598323005,0.8205599011451459,0.34559964256450715,0.5419367106281964,0.07684638870544681,0.2577295235580627,1,positive
13,200 KM/H In The Wrong Lane (10th Anniversary Edition),t.A.T.u.,All The Things She Said,2002,75,-0.5781551307078717,-0.4305553757997146,0.8874258753337506,-0.0816592372242764,-0.06807318592455565,-0.2568633245672358,-0.5163579115543677,0.005116290984806889,-1.2186800727216054,-0.6062099626954219,-1.108661065852714,0.07684638870544681,-0.7022823843246385,0,dance
14,Audioslave,Audioslave,Like a Stone,2002-11-17,75,-0.7406647291320798,-0.3513444079942961,-0.7456231068836484,-0.1569831916357758,0.4823471459797086,1.6901991517957637,-0.5556988422195646,0.1476995061732903,-1.2186800727216054,-0.7564956898417265,-0.45438982173918535,0.07684638870544681,-0.0857609755926284,0,dance
15,Justified,Justin Timberlake,Rock Your Body,2002-11-04,74,0.2061879054536403,1.6505327783608241,0.15071204876951053,-0.15408897072735364,-0.3432833518766878,1.0365914336866853,-0.9090249364956712,-0.13746692420367654,-1.2186800727216054,0.45218526465408465,-0.7058666463406129,0.07684638870544681,1.239760053181193,0,dance
16,Room On Fire,The Strokes,Reptilia,2003-10-28,73,-0.7768014092284017,-1.2514690421467782,-0.24834127395278588,8.661732653257335,1.0327674778839728,-0.12498607987796125,-0.5460491799809313,0.3287653884368663,0.8205599011451459,-0.6925443165879799,1.379851493079425,0.07684638870544681,1.0327850088211612,1,positive
17,blink-182,blink-182,I Miss You,2003-11-01,73,-0.7742163636995892,-1.7267348489792886,0.15071204876951053,-0.15690551767293437,1.5831878097882373,0.05679198632574736,-0.6611028451338652,-1.2426101837960752,0.8205599011451459,-0.5710367074058613,-0.37511081116249606,0.07684638870544681,0.25332579920997694,1,positive
18,Tha Smokin' Nephew,Baby Bash,Suga Suga,2003-01-01,72,2.5950250449824472,-0.005696548479742695,0.3594476329627121,-0.15687892547228005,-0.06807318592455565,0.3451296085799058,-0.6714947890831625,1.3495428009800239,-1.2186800727216054,1.8058226651917222,-1.3875271796247777,0.07684638870544681,-0.0020902129789983907,3,driving
19,Three Days Grace,Three Days Grace,I Hate Everything About You,2003-04-19,72,-0.757146233831909,-1.1866600684877995,0.8628687477816093,-0.1569831916357758,0.2071369800275765,0.16036434893912122,-0.26398212992857706,0.30557711468649024,-1.2186800727216054,-0.6019465378118388,-1.1311502685762675,0.07684638870544681,-0.3631956095220329,0,dance
20,Results May Vary,Limp Bizkit,Behind Blue Eyes,2003-01-01,71,1.6581299861528742,-0.4881633523854735,-1.2306263760384395,-0.1569831916357758,0.4823471459797086,1.1028728487208233,-0.41243847206139517,-0.4359542777989451,0.8205599011451459,-0.7618249709462054,0.0014644890767794609,0.07684638870544681,-1.9608668030075562,2,study
21,Get Rich Or Die Tryin',50 Cent,21 Questions,2003-02-06,71,0.9517797847316252,-0.6249822967766508,0.7216652643567971,-0.15249343868809526,0.2071369800275765,-0.01235419618493059,-0.9157054718916481,0.9217931554145732,-1.2186800727216054,2.328092213430653,-1.1066498363408515,0.07684638870544681,1.6404989688569998,3,driving
22,Justified,Justin Timberlake,Cry Me a River,2002-11-04,71,2.0505467647202344,-0.2793344372620975,-0.21764486451260917,-0.1569831916357758,0.7575573119318407,1.5524209758086587,-0.5237807286610087,-0.3974716107238525,-1.2186800727216054,0.8998448774303112,-1.695903515507261,0.07684638870544681,0.12561779311548904,2,study
23,Room For Squares,John Mayer,Your Body Is a Wonderland,2001-08-16,71,-0.6787119302157578,-0.11371150457804063,0.24280127709004062,0.4478347674319285,-0.06807318592455565,0.60467264491602,-0.3010962154617816,-0.2341669594180117,0.8205599011451459,-0.7991299386775577,-0.9604517347330999,0.07684638870544681,0.6672758879300412,1,positive
24,The Definition Of X: Pick Of The Litter,DMX,X Gon' Give It To Ya,2007-06-12,71,-0.713538919313611,0.707202161769023,1.2864791980560477,-0.1569831916357758,1.307977643836105,-0.17983291019804573,-0.7620531577841815,1.3253677921764402,-1.2186800727216054,0.8998448774303112,-0.9232622726682969,0.07684638870544681,0.6056237470568401,0,dance
25,Trapt,Trapt,Headstrong,2002-11-05,70,-0.7789155546229333,-1.2298660509271186,1.2680613523919417,-0.15694880730190647,-0.3432833518766878,1.4847439048244115,0.10715872540346776,-0.021032187925191796,-1.2186800727216054,0.19637977163909837,2.3661584456968012,0.07684638870544681,-0.006493937327084181,0,dance
26,Let Go,Avril Lavigne,I'm with You,2002-06-04,69,-0.3873424721294926,-1.4819009484898134,-1.7401867727453721,-0.1569831916357758,1.0327674778839728,-0.04565405745069617,-0.4272841062746769,-0.8316350341351518,0.8205599011451459,-0.7405078465282898,1.1582871364907894,-4.625321828298076,-1.4421080748030508,2,study
27,Michael Bublé,Michael Bublé,Sway,2003,69,2.913863677568428,0.3615543022544695,-0.3097340928331393,-0.1569831916357758,-0.893703683780952,-0.9026357812020164,-0.6440303657885912,0.12204439478989554,-1.2186800727216054,-0.7170590096685827,0.20785320480317998,0.07684638870544681,0.8874621053343302,0,dance
28,Breakaway,Kelly Clarkson,Since U Been Gone,2004-01-17,69,-0.7716656546389012,-0.005696548479742695,0.3164726597464647,0.21778131060862996,-1.4441240156852164,-0.880746019458197,-0.4495525575945996,0.1827286005621568,0.8205599011451459,-0.6946760290297714,0.39219153151770575,0.07684638870544681,-0.5789781025782363,1,positive
29,It Ain't Safe No More. . .,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),2002-11-26,69,-0.7101052725011467,-0.10651050750482077,0.4269797337311008,-0.1569831916357758,0.2071369800275765,2.4332267914802657,3.51423177735164,0.720992572086847,0.8205599011451459,2.210848029132117,-1.2535061585161216,0.07684638870544681,-0.07695352689645682,3,driving
30,The Blueprint 2: The Gift & The Curse,JAY-Z,03' Bonnie & Clyde,2002-11-12,68,0.3484389876843085,0.6928001676225832,-0.07030209919976102,-0.1569831916357758,1.0327674778839728,-0.47429183047899937,-0.18233114175552734,0.31001742242592417,-1.2186800727216054,2.2961165268037793,-1.1202530614029034,0.07684638870544681,-0.918064877380842,3,driving
31,The Long Road,Nickelback,Someday,2003-09-23,68,-0.7767376415018844,-1.496302942636253,1.0347686406465988,-0.15392818067688574,1.5831878097882373,-0.4276230543227132,0.38180295834918104,0.05790661633140817,-1.2186800727216054,-0.6339222244387122,1.5666764308267995,0.07684638870544681,0.2709406966023201,0,dance
32,Under Construction,Missy Elliott,Work It,2002-11-11,67,-0.398133933540095,1.5929248017750652,-0.07644138108779637,-0.1569831916357758,-1.1689138497330842,0.9376712575736759,-0.7524034955455483,0.08553519782121816,0.8205599011451459,1.9657010983260883,-0.6731018892019072,0.07684638870544681,0.21369228007720484,3,driving
33,Permission to Land,The Darkness,I Believe in a Thing Called Love,2003-07-07,67,-0.5158589671103032,-1.5899159045881113,0.9610972579901748,-0.15692493616364472,-0.3432833518766878,-0.17819240232686465,0.7974807163210711,0.27745516567007633,0.8205599011451459,-0.23635785404458728,0.2910815387849818,0.07684638870544681,0.38103380530446485,1,positive
34,Get Rich Or Die Tryin',50 Cent,P.I.M.P.,2003-02-06,67,-0.561967938591968,0.2679413403026113,0.4208404518430655,-0.15682240158530786,1.307977643836105,0.6007550141788711,-0.9980987417753621,1.3638504592515326,-1.2186800727216054,2.5945562686545975,-1.5205608698821564,0.07684638870544681,1.5568282062433698,3,driving
35,Stripped,Christina Aguilera,Beautiful,2002-07-19,67,2.0554519744523265,-1.4891019455630332,-0.7149266974434717,-0.15694546781624294,-0.06807318592455565,0.3337195090579597,-0.4495525575945996,0.9425145915319306,-1.2186800727216054,-0.7575615460626223,-1.612090096576554,0.07684638870544681,-1.921233283874784,2,study
36,Away From The Sun,3 Doors Down,When I'm Gone,2002-11-12,67,-0.760874193228299,-0.9562281621447638,0.48223327072341887,-0.1569831916357758,0.4823471459797086,0.8668355968076024,-0.5312035457676496,0.08158825760838816,0.8205599011451459,-0.7479688400745603,1.0173182316138811,0.07684638870544681,-0.7110898330208101,1,positive
37,Thank You,Jamelia,Superstar,2003-06-30,66,-0.5541196030206208,0.9952420446978174,-0.2728984015049272,-0.1569831916357758,-1.1689138497330842,-0.23139872477576803,-1.0307591370445819,-0.5691635099819572,0.8205599011451459,-0.6712271921700642,-0.3753302180183356,0.07684638870544681,1.2705861236177933,1,positive
38,The Young and The Hopeless,Good Charlotte,Lifestyles of the Rich & Famous,2002-10-04,66,-0.7776500105120535,-0.30813842555497695,1.4767969365851432,-0.1569831916357758,-1.1689138497330842,-0.851045481432187,-0.7865484542360964,1.0318141138472092,0.8205599011451459,-0.6520417801939403,-0.5139587830996225,0.07684638870544681,0.3237853887793496,1,positive
39,Jackpot,Chingy,Right Thurr,2003-01-01,66,-0.043977790883052134,1.4633068544571077,0.36558691485074746,-0.1569831916357758,-0.893703683780952,0.6320960600760622,-0.8399927374039108,0.8877507960789145,0.8205599011451459,1.6459442320573554,-1.0312470135506606,0.07684638870544681,1.5656356549395414,3,driving
40,Speakerboxxx/The Love Below,Outkast,The Way You Move (feat. Sleepy Brown),2003,66,-0.16170282445326029,1.499311839823207,-0.5675839321306235,-0.15558555504324714,-0.06807318592455565,0.22206703304921627,-0.8221779763479727,0.4165848081723337,-1.2186800727216054,-0.5561147203133204,0.20931591717544334,0.07684638870544681,0.4382822218295801,0,dance
41,Dangerously In Love,Beyoncé,Baby Boy (feat. Sean Paul),2003-06-24,66,-0.37507944779926256,-0.056103527992281736,-1.236765657926475,-0.15696884421588786,-1.1689138497330842,0.4871437228015532,0.34468887281597654,-1.6743067695743559,0.8205599011451459,1.2942116791617488,-1.0696066455132744,0.07684638870544681,1.125263220130963,3,driving
42,Cocky,Kid Rock,Picture (feat. Sheryl Crow),2001-11-19,66,0.06393682322297198,0.21033336371685238,-1.1876514028221923,-0.15690378608777547,0.4823471459797086,1.8126251123316666,-0.5015122773410859,-0.7674972556766645,0.8205599011451459,-0.7938006575730787,-0.8165574051116643,0.07684638870544681,-0.7022823843246385,2,study
43,Chapter II,Ashanti,Rock Wit U (Awww Baby),2003-01-01,66,1.2215663199966855,0.3399513110348099,0.6602724454764437,-0.1569831916357758,-0.3432833518766878,-0.3871245465774365,-0.10810297068911828,1.3668106644111553,-1.2186800727216054,-0.43034368624761865,-0.9243227391381879,0.07684638870544681,1.3806792323199382,0,dance
44,Stripped,Christina Aguilera,Fighter,2002-07-19,65,0.3729650363447684,-1.6403228841006503,1.4154041177047898,-0.15261712334230135,-0.3432833518766878,0.5149099306510959,2.8016413351141143,2.1803737157807377,-1.2186800727216054,1.0916989971915512,2.5094311225600254,0.07684638870544681,-0.3764067825662903,0,dance
45,The Neptunes Present... Clones,The Neptunes,Frontin' (feat. Jay-Z) - Club Mix,2003-08-19,65,1.442300757940826,1.6649347725072638,-1.7524653365214429,-0.15696377314506543,1.0327674778839728,0.28342692446981077,-0.7011860575097261,-0.06740873542594439,-1.2186800727216054,0.33494108035554937,-0.6679458280896776,0.07684638870544681,0.9843440409922176,0,dance
46,Street Dreams (Bonus Track),Fabolous,Into You (feat. Tamia),2003-02-01,64,0.36315461688058454,-0.841012208973246,-0.929801563524708,-0.1569831916357758,0.4823471459797086,1.734590805086082,-0.4198612891680361,-1.0408228654151417,-1.2186800727216054,-0.49322920328046954,2.2615379432706444,0.07684638870544681,0.19607738268486166,2,study
47,The Best Of Snoop Dogg,Snoop Dogg,Beautiful,2005-01-01,64,0.6868984591986569,1.657733775434044,0.31033337785842935,-0.1569831916357758,1.5831878097882373,1.8171793580636022,-0.641803520656599,0.4146113380659189,-1.2186800727216054,0.3562582047734649,-0.7039285524473631,0.07684638870544681,1.8827038080017178,0,dance
48,No Stranger to Shame,Uncle Kracker,Drift Away,2002-07-09,64,0.10808371081180008,-0.5745753172641118,-0.18080917318439715,-0.1569831916357758,1.5831878097882373,0.7499677748800295,-0.5690599130115181,0.3445531492881863,0.8205599011451459,-0.648844211531253,1.158506543346629,0.07684638870544681,1.4335239244969677,1,positive
49,More Than You Think You Are,Matchbox Twenty,Unwell,2002-11-01,63,-0.6335840006805114,-2.9293013602070044,0.6050189084841257,-0.1569831916357758,0.2071369800275765,0.09244242603380229,3.9521779866434525,0.25328015686649286,-1.2186800727216054,-0.6211319497879628,-1.4465110560363093,0.07684638870544681,-0.4688849938760919,0,dance
50,Hypnotica (Benny Benassi Presents The Biz),Benny Benassi,Satisfaction - Isak Original Extended,2003-05-23,63,0.01978993563414401,0.9376340681120585,0.05248353856094509,1.6364442943523045,1.5831878097882373,1.4847683900165187,-0.7427538333069151,1.0609227979168305,0.8205599011451459,0.05781846292264721,0.3562453749693265,0.07684638870544681,-0.8652201852038125,1,positive
51,No Holding Back,Wayne Wonder,No Letting Go,2003-03-04,62,-0.544799704529646,-1.2010620626342392,0.7953366470132206,-0.15432397157034516,-0.06807318592455565,-0.5611408068831689,0.0180849201237769,0.05938671891121947,-1.2186800727216054,-0.5774318447312359,-0.733548477985702,0.07684638870544681,-0.9621021208616999,0,dance
52,The Last Temptation,Ja Rule,Mesmerize,2002-01-01,62,-0.5035959427800731,0.7288051529886825,-0.25448055584082124,-0.1569831916357758,-1.1689138497330842,1.3170448240823316,1.7772925743976697,-0.4255935597402664,0.8205599011451459,1.14499180823634,-1.1034318691218716,0.07684638870544681,-0.6362265191033516,3,driving
53,After The Storm,Monica,So Gone,2003,61,0.08355766215134003,-0.32254041970141667,-0.8438516170922132,-0.1569831916357758,0.7575573119318407,0.43687562340551145,0.5747962031218444,-0.5361078856995064,0.8205599011451459,-0.005067054110203526,-1.4005453197379245,0.07684638870544681,0.2224997287733764,1,positive
54,Shaman,Santana,The Game of Love (feat. Michelle Branch) - Main / Radio Mix,2002-09-30,61,-0.42952727582548383,-0.5241683377515728,1.470657654697108,-0.15509081642642283,-0.893703683780952,0.7231809747147739,-0.8518692447745364,1.2533361332922925,0.8205599011451459,-0.5411927332207795,-0.016709712148596324,0.07684638870544681,0.610027471404926,1,positive
55,Phrenology,The Roots,The Seed (2.0),2002,61,-0.5884560711452649,0.6855991705493634,1.6425575475620968,-0.1569831916357758,0.4823471459797086,1.0529230568221748,-0.3085190325684225,1.7245021211988734,0.8205599011451459,-0.6701613359491686,-0.33473994968801946,0.07684638870544681,1.895914981045975,1,positive
56,Almost Famous,Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",2003-01-01,61,-0.5879655501720557,1.067252015430016,-0.19922701884850316,8.649364187836728,0.2071369800275765,-0.980008988260707,-0.7034129026417184,-0.2075251129814091,0.8205599011451459,2.807727512833752,2.913834525681617,0.07684638870544681,1.0636110792577618,3,driving
57,Dutty Rock (20th Anniversary),Sean Paul,Like Glue,2022-11-11,61,-0.3819467414241914,0.6783981734761435,0.555904653379843,-0.1569831916357758,-1.1689138497330842,0.18548615604108848,-0.4569753747012405,0.3642878503523363,0.8205599011451459,2.3494093378485683,-0.8175813037722485,0.07684638870544681,0.23571090181763377,3,driving
58,The Beautiful Letdown (Deluxe Version),Switchfoot,Meant to Live,2003,60,-0.751554294737324,-1.9139607728830048,1.3110363256081892,-0.15696340209110282,-0.893703683780952,-0.5768113298317644,1.391306084852343,0.5917302801166648,0.8205599011451459,-0.5635757138595908,1.1436965805774595,0.07684638870544681,0.0903879983308032,1,positive
59,God's Son,Nas,I Can,2002-12-13,60,-0.27452264829137646,1.2544779393337318,1.200529251623553,-0.1569831916357758,0.2071369800275765,0.7049150214028173,-0.8013940884493782,0.9188329502549506,-1.2186800727216054,0.8891863152213534,-0.9128038792066118,0.07684638870544681,0.6981019583666412,0,dance
60,Street Dreams (Bonus Track),Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),2003-02-01,60,0.3533441974164005,-0.1209125016512605,-0.5491660864665175,-0.1569831916357758,1.0327674778839728,-0.02344598820948339,-0.7063820294843748,-0.39105783287800383,0.8205599011451459,3.830949484893699,2.6258264595829046,0.07684638870544681,1.2133377070926787,3,driving
61,I Wanna Go There,Tyrese,How You Gonna Act Like That,2002-12-01,60,-0.25490180936300844,0.5055742437188667,-1.0341693556213087,-0.1569831916357758,-0.6184935178288199,1.708146797610327,-0.782094763972112,1.0456284045921143,-1.2186800727216054,-0.5635757138595908,-0.26921043541060813,0.07684638870544681,-0.04612745645985629,0,dance
62,Nellyville,Nelly,Air Force Ones,2002-06-25,60,-0.36428798638866017,0.8728250944530798,-1.4148048326794995,-0.1569831916357758,-0.3432833518766878,1.9360304805518567,-0.709351156327031,-1.955526259738493,-1.2186800727216054,2.328092213430653,1.601196442812222,0.07684638870544681,0.36341890791212167,3,driving
63,Stripped,Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),2002-07-19,58,-0.6198494134306538,1.4128998749445687,-0.19308773696046783,-0.1345962692244763,0.7575573119318407,0.7427691284005185,-0.8125283141093396,0.6390935626706249,0.8205599011451459,0.9957719373109313,-0.7783806121955827,0.07684638870544681,0.01112096006525898,3,driving
64,Pretty Green Eyes (Remixes),Ultrabeat,Pretty Green Eyes - Radio Edit,2003-08-04,58,0.2601452125066523,-0.7906052294607069,0.5252082439396663,-0.1569831916357758,-1.1689138497330842,-0.5634179297491366,-0.7553726223882047,-2.223918194210933,-1.2186800727216054,-0.5923538318237769,0.7210458406118796,0.07684638870544681,-0.11218332168114314,0,dance
65,The Singles Collection,No Doubt,It's My Life,2003-01-01,58,-0.7668094970041303,-0.408952384580055,0.37172619673878277,-0.1472368408843371,0.7575573119318407,0.02290448044940944,1.0869705834800665,0.6124517162340223,-1.2186800727216054,-0.7245200032148532,0.220907912725633,0.07684638870544681,1.037188733169247,0,dance
66,Slicker than Your Average,Craig David,Rise & Fall (feat. Sting),2002-11-19,58,0.45635360179033263,-1.856352796297246,-0.6166981872349063,-0.1569831916357758,0.2071369800275765,1.5253158681460097,3.610728399737972,-0.8553166754121319,-1.2186800727216054,-0.4260802613640356,-1.3494235223273097,0.07684638870544681,1.2001265340484213,0,dance
67,Best Of Blue,Blue,Sorry Seems To Be The Hardest Word,2004-01-01,58,0.1178941302759841,-0.7113942616552893,-0.5491660864665175,-0.15695610469650464,0.4823471459797086,-0.3639615548440437,1.5249167927718794,-0.5119328768959225,-1.2186800727216054,-0.7255858594357489,-1.5109801038438295,0.07684638870544681,-0.4116365773509766,0,dance
68,Floetic,Floetry,Say Yes,2002-01-01,57,0.25524000277456027,0.6063882027439448,-1.7893010278496548,-0.15696562841487852,-0.06807318592455565,1.0636965413493342,-0.4569753747012405,-3.5303554046576613,-1.2186800727216054,-0.25874083468339854,-0.08681020258933157,-14.029658262305121,-0.4732887182241777,2,study
69,d-d-don't don't stop the beat (Explicit Content U.S. Version),Junior Senior,Move Your Feet,2003-07-25,57,-0.5310651172797884,0.6639961793297038,1.2619220705039065,0.7545727098629933,1.0327674778839728,-1.0534645645822487,0.35211168992261743,1.557743897206806,0.8205599011451459,-0.10952096375798973,-0.051339427561938225,0.07684638870544681,1.3586606105795092,1,positive
70,Mis-Teeq,Mis-Teeq,Scandalous - U.S. Radio Edit,2004-07-13,57,-0.5217452187888135,0.5127752407920866,-0.13169491808011444,-0.1569831916357758,-1.4441240156852164,0.34057536284797024,-0.609143125387379,0.9084722321962719,-1.2186800727216054,-0.6786881857163348,-0.7424710234565103,0.07684638870544681,0.5087418113989528,0,dance
71,The Senior,Ginuwine,In Those Jeans,2003-04-08,57,1.7120872932058864,0.20313236664363252,-0.9113837178606019,-0.1569831916357758,-1.1689138497330842,0.4499262307986387,-0.7368155796216024,-0.04767403436179439,0.8205599011451459,-0.2235675793938379,0.2708961080477432,0.07684638870544681,-0.9532946721655283,2,study
72,In The Zone,Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,2003-11-13,57,0.7899078635725891,1.016845035917477,0.8997044391098213,-0.1569831916357758,0.2071369800275765,-0.028343026630919508,0.28530633596284927,-0.42362008963385117,-1.2186800727216054,-0.10205997021171936,-0.008372251626693233,0.07684638870544681,1.385082956668024,0,dance
73,I Care 4 U,Aaliyah,Miss You,2002-12-10,57,2.4331531238234114,0.10951940469177511,-2.157657941131775,-0.1569831916357758,1.307977643836105,0.4969377996444254,0.3001519701761311,-2.033971696468489,0.8205599011451459,-0.7106638723432082,-0.37982805856304597,0.07684638870544681,-0.14741311646582947,2,study
74,Music & You,Room 5,Make Luv,2003-11-24,57,-0.7253114226706319,1.5857238047018454,1.2128078153996236,7.635150023346918,-1.1689138497330842,-0.30649480896849085,-1.023336319937941,0.42250521849157885,0.8205599011451459,0.1857212094301406,0.16598306314713276,0.07684638870544681,0.49553063835469535,1,positive
75,Turnaround,Westlife,Mandy,2003-11-24,56,0.4661640212545166,-1.553910919222012,-0.3281519384972453,-0.15583910858436958,-0.06807318592455565,-0.6270794292278061,-0.4792438260211632,0.3435664142349789,0.8205599011451459,-0.7543639773999349,-0.5337785357437949,0.07684638870544681,-0.7022823843246385,1,positive
76,Chicken - N - Beer,Ludacris,Stand Up,2003-01-01,56,1.0204527209809133,0.6351921910368243,0.9242615666619627,-0.1569831916357758,0.2071369800275765,-0.27351325520011865,-0.6158236607833558,0.45457410772082235,0.8205599011451459,2.6691662041173014,-0.7758940011627345,0.07684638870544681,1.1693004636118207,3,driving
77,Jackpot,Chingy,Holidae In,2003-01-01,56,-0.34172402162103693,1.0600510183567962,0.6234367541482317,-0.1569831916357758,0.4823471459797086,2.1906764784665347,-0.6737216342151547,-0.06543526531952916,0.8205599011451459,0.8785277530123956,1.1991333794862524,0.07684638870544681,1.816647942780431,3,driving
78,Under Construction,Missy Elliott,Gossip Folks (feat. Ludacris),2002-11-11,55,0.9959266723204533,0.3183483198151503,-0.929801563524708,-0.1569831916357758,-1.4441240156852164,0.24393230960092852,1.0572793150535027,0.25278678933988896,0.8205599011451459,4.331901908714714,0.053281074864219145,0.07684638870544681,-0.424847750395234,3,driving
79,The Blueprint 2: The Gift & The Curse,JAY-Z,Excuse Me Miss,2002-11-12,55,-0.630150353868047,0.36875529932768936,1.0593257681987402,-0.1569831916357758,0.2071369800275765,1.3787475081924268,-0.6395766755246066,0.12105765973668814,0.8205599011451459,1.9976767849529615,-1.0029069613380523,0.07684638870544681,1.5480207575471983,3,driving
80,Sunrise European Single,Simply Red,Sunrise,2004-12-14,55,-0.7638173190675541,0.9016290827459592,0.2366619952020053,2.6877638551039382,-0.06807318592455565,-0.6061935603603812,-0.5690599130115181,0.32235161059101763,-1.2186800727216054,-0.7362444216447067,-0.5226253539052843,0.07684638870544681,1.7638032506034018,0,dance
81,La Bella Mafia,Lil' Kim,Magic Stick,2003-03-03,55,-0.2058497120420883,1.34088990421237,-1.1692335571580863,-0.15636847890437158,-0.893703683780952,3.306540138367075,0.6935612768280989,-1.0339157200426892,0.8205599011451459,1.8377983518185954,-0.9980434427002758,0.07684638870544681,-0.13860566776965788,3,driving
82,Still Ghetto,Jaheim,Put That Woman First,2002-11-05,54,1.6336039374924143,-0.09930951043160091,-0.9420801273007786,-0.1569831916357758,-0.06807318592455565,0.5103311997270532,0.07004463987026324,-1.4937342548373838,-1.2186800727216054,0.3562582047734649,-1.5117114600299613,0.07684638870544681,-0.09897214863688576,2,study
83,My Private Nation,Train,Calling All Angels,2003-06-03,54,-0.4138306046827894,-1.503503939709473,0.9181222847739273,-0.1569831916357758,-0.6184935178288199,0.422845608328097,0.7752122650011488,0.20147656657309898,0.8205599011451459,-0.5806294133939233,1.6781351135932892,0.07684638870544681,-0.02851255906751313,1,positive
